0.000000000000000000e+00,1.013250000000000000e+05
2.040816326530612290e+00,2.395430838295549038e+05
4.081632653061224580e+00,6.475228982860469259e+05
6.122448979591837315e+00,2.012837050901625771e+06
8.163265306122449161e+00,1.020209207185450044e-311
1.020408163265306101e+01,6.952678894393966799e-310
1.224489795918367463e+01,1.020192514533343695e-311
1.428571428571428648e+01,1.020192514596584098e-311
1.632653061224489832e+01,1.020192675701509894e-311
1.836734693877551194e+01,6.952678894406614880e-310
2.040816326530612201e+01,6.952678894439816091e-310
2.244897959183673564e+01,1.020198594655377374e-311
2.448979591836734926e+01,1.020209321239516255e-311
2.653061224489795933e+01,1.020209321271136456e-311
2.857142857142857295e+01,1.020209281018620158e-311
3.061224489795918302e+01,1.020209321302756658e-311
3.265306122448979664e+01,1.020209321334376859e-311
3.469387755102040671e+01,1.020209317998445618e-311
3.673469387755102389e+01,1.020209321365997060e-311
3.877551020408163396e+01,1.020209217841457893e-311
4.081632653061224403e+01,1.020209217873078095e-311
4.285714285714286120e+01,1.020209217904698296e-311
4.489795918367347127e+01,1.020175445980283890e-311
4.693877551020408134e+01,1.020175523101954943e-311
4.897959183673469852e+01,1.020209321429237463e-311
5.102040816326530859e+01,1.020209318196071877e-311
5.306122448979591866e+01,1.020175576982778016e-311
5.510204081632652873e+01,1.020209217398775075e-311
5.714285714285714590e+01,1.020199519293304778e-311
5.918367346938775597e+01,1.020209321563623319e-311
6.122448979591836604e+01,1.020209321618958671e-311
6.326530612244898322e+01,1.020198709499948618e-311
6.530612244897959329e+01,1.020209321650578872e-311
6.734693877551021046e+01,1.020209321682199074e-311
6.938775510204081343e+01,1.020175699953741003e-311
7.142857142857143060e+01,1.020176014068821054e-311
7.346938775510204778e+01,1.020175615116740824e-311
7.551020408163265074e+01,1.020209318480653689e-311
7.755102040816326792e+01,1.020209321903540483e-311
7.959183673469388509e+01,1.020209321935160684e-311
8.163265306122448806e+01,1.020209321966780886e-311
8.367346938775510523e+01,1.020209321998401087e-311
8.571428571428572241e+01,1.020200502428604650e-311
8.775510204081632537e+01,1.020209322061641490e-311
8.979591836734694255e+01,1.020209322093261691e-311
9.183673469387755972e+01,1.020209322124881892e-311
9.387755102040816269e+01,1.020209322156502094e-311
9.591836734693877986e+01,1.020209322188122295e-311
9.795918367346939704e+01,1.020175582010390028e-311
1.000000000000000000e+02,1.020209322219742496e-311
